# Step   Time     sin1        cos1        sin2        cos2        h1          h2 
0  0.0000    0.841471    0.540302    0.909297   -0.416147    0.459698    1.875845
1   0.0100    0.852006    0.523532    0.917642   -0.397408    0.476468    1.873876
2   0.0200    0.862015    0.506884    0.925984   -0.377562    0.493116    1.870679
3   0.0300    0.871518    0.490363    0.934254   -0.356609    0.509637    1.866246
4   0.0400    0.880537    0.473977    0.942378   -0.334550    0.526023    1.860573
5   0.0500    0.889092    0.457729    0.950283   -0.311387    0.542271    1.853658
6   0.0600    0.897199    0.441626    0.957893   -0.287126    0.558374    1.845500
7   0.0700    0.904876    0.425675    0.965129   -0.261776    0.574325    1.836101
8   0.0800    0.912138    0.409884    0.971911   -0.235350    0.590116    1.825466
9   0.0900    0.918997    0.394265    0.978157   -0.207870    0.605735    1.813605
10   0.1000    0.925466    0.378830    0.983783   -0.179360    0.621170    1.800530
11   0.1100    0.931555    0.363600    0.988708   -0.149858    0.636400    1.786257
12   0.1200    0.937272    0.348598    0.992845   -0.119408    0.651402    1.770810
13   0.1300    0.942625    0.333854    0.996114   -0.088069    0.666146    1.754215
14   0.1400    0.947618    0.319405    0.998436   -0.055909    0.680595    1.736504
15   0.1500    0.952258    0.305296    0.999735   -0.023013    0.694704    1.717717
16   0.1600    0.956546    0.291580    0.999945    0.010522    0.708420    1.697898
17   0.1700    0.960489    0.278319    0.999006    0.044587    0.721681    1.677094
18   0.1800    0.964088    0.265581    0.996870    0.079059    0.734419    1.655359
19   0.1900    0.967350    0.253443    0.993503    0.113807    0.746557    1.632749
20   0.2000    0.970280    0.241984    0.988883    0.148695    0.758016    1.609321
21   0.2100    0.972885    0.231288    0.983004    0.183582    0.768712    1.585131
22   0.2200    0.975175    0.221436    0.975875    0.218331    0.778564    1.560233
23   0.2300    0.977159    0.212509    0.967515    0.252813    0.787491    1.534679
24   0.2400    0.978849    0.204583    0.957959    0.286904    0.795417    1.508513
25   0.2500    0.980257    0.197727    0.947250    0.320495    0.802273    1.481778
26   0.2600    0.981394    0.192004    0.935438    0.353490    0.807996    1.454507
27   0.2700    0.982271    0.187467    0.922581    0.385804    0.812533    1.426729
28   0.2800    0.982896    0.184163    0.908737    0.417369    0.815837    1.398468
29   0.2900    0.983274    0.182130    0.893970    0.448126    0.817870    1.369744
30   0.3000    0.983409    0.181400    0.878345    0.478028    0.818600    1.340572
31   0.3100    0.983299    0.181998    0.861925    0.507036    0.818002    1.310966
32   0.3200    0.982937    0.183945    0.844776    0.535119    0.816055    1.280936
33   0.3300    0.982311    0.187255    0.826965    0.562253    0.812745    1.250492
34   0.3400    0.981407    0.191940    0.808558    0.588417    0.808060    1.219644
35   0.3500    0.980201    0.198007    0.789621    0.613594    0.801993    1.188399
36   0.3600    0.978665    0.205461    0.770225    0.637772    0.794539    1.156767
37   0.3700    0.976767    0.214304    0.750440    0.660939    0.785696    1.124758
38   0.3800    0.974467    0.224533    0.730338    0.683086    0.775467    1.092381
39   0.3900    0.971718    0.236144    0.709995    0.704206    0.763856    1.059649
40   0.4000    0.968470    0.249130    0.689490    0.724296    0.750870    1.026574
41   0.4100    0.964665    0.263479    0.668902    0.743351    0.736521    0.993170
42   0.4200    0.960240    0.279176    0.648316    0.761371    0.720824    0.959453
43   0.4300    0.955125    0.296202    0.627821    0.778358    0.703798    0.925440
44   0.4400    0.949246    0.314534    0.607505    0.794316    0.685466    0.891151
45   0.4500    0.942523    0.334142    0.587464    0.809251    0.665858    0.856607
46   0.4600    0.934869    0.354993    0.567792    0.823172    0.645007    0.821836
47   0.4700    0.926195    0.377045    0.548590    0.836091    0.622955    0.786863
48   0.4800    0.916405    0.400253    0.529958    0.848024    0.599747    0.751723
49   0.4900    0.905400    0.424561    0.511997    0.858987    0.575439    0.716452
50   0.5000    0.893076    0.449906    0.494812    0.869000    0.550094    0.681094
51   0.5100    0.879327    0.476219    0.478504    0.878085    0.523781    0.645696
52   0.5200    0.864044    0.503417    0.463176    0.886266    0.496583    0.610317
53   0.5300    0.847116    0.531409    0.448926    0.893569    0.468591    0.575022
54   0.5400    0.828431    0.560092    0.435850    0.900019    0.439908    0.539889
55   0.5500    0.807877    0.589350    0.424037    0.905645    0.410650    0.505004
56   0.5600    0.785348    0.619055    0.413567    0.910474    0.380945    0.470472
57   0.5700    0.760738    0.649059    0.404511    0.914533    0.350941    0.436408
58   0.5800    0.733952    0.679201    0.396922    0.917852    0.320799    0.402946
59   0.5900    0.704906    0.709300    0.390834    0.920461    0.290700    0.370238
60   0.6000    0.673535    0.739156    0.386256    0.922392    0.260844    0.338453
61   0.6100    0.639795    0.768545    0.383163    0.923681    0.231455    0.307774
